,Field_Name,Latitude,Longitude,Latitude_decimal,Longitude_decimal
236,M6V2084,"S 19° 28' 28.20""","W 47° 51' 13.40""",-19.4745,-47.853722222222224
237,M6I20115,"S 17° 33' 32.20""","W 51° 02' 50.60""",-17.558944444444446,-51.04738888888889
238,M6I20116,"S 17° 32' 26.70""","W 51° 03' 07.40""",-17.540750000000003,-51.052055555555555
239,M6I20117,"S 17° 31' 47.30""","W 51° 03' 09.30""",-17.529805555555555,-51.05258333333333
240,M6I20103,"S 19° 24' 14.60""","W 47° 52' 22.30""",-19.404055555555555,-47.87286111111111
241,M6I20104,"S 19° 24' 15.10""","W 47° 52' 22.10""",-19.404194444444443,-47.87280555555556
242,M6I20105,"S 19° 24' 37.60""","W 47° 52' 37.50""",-19.410444444444444,-47.87708333333333
243,M6I20106,"S 19° 24' 39.80""","W 47° 51' 58.90""",-19.411055555555553,-47.86636111111111
244,M6I20129,"S 18° 31' 30.50""","W 48° 45' 52.10""",-18.52513888888889,-48.764472222222224
245,M2I2028,"S 15° 12' 28.00""","W 53° 57' 24.00""",-15.207777777777777,-53.95666666666667
246,M7I2052,S 17° 31' 07.00'',W 46° 38' 17.00'',-17.51861111111111,-46.63805555555555
247,M7I2053,"S 17° 29' 31.20""","W 46° 37' 42.20""",-17.492,-46.62838888888889
248,M7I2054,"S 17° 29' 51.90""","W 46° 38' 09.90""",-17.49775,-46.63608333333333
249,M2I2001,"S 13° 35' 09.071""","W 57° 53' 00.920""",-13.585853055555557,-57.88358888888889
250,M2I2002,"S 13° 36' 12.07""","W 57° 53' 59.599""",-13.603352777777777,-57.89988861111111
251,M2I2003,"S 13° 35' 21.06""","W 57° 53' 53.119""",-13.589183333333335,-57.89808861111111
252,M2V2007,"S 13° 35' 43.11""","W 57° 51' 40.79""",-13.595308333333334,-57.861330555555554
253,M2V2008,"S 13° 34' 59.41""","W 57° 51' 30.44""",-13.583169444444444,-57.85845555555556
254,M2V2009,"S 13° 34' 51.24""","W 57° 52' 13.04""",-13.5809,-57.870288888888886
255,M2V2010,"S 13° 35' 26.55""","W 57° 52' 15.45""",-13.590708333333334,-57.870958333333334
256,M7I2040,S 16° 14' 57.00'',W 46° 30' 08.00'',-16.249166666666667,-46.50222222222222
257,M7I2041,S 16° 15' 04.00'',W 46° 29' 10.00'',-16.25111111111111,-46.486111111111114
258,M7I2042,S 16° 15' 21.00'',W 46° 28' 54.00'',-16.25583333333333,-46.48166666666667
259,M7I2043,S 16° 15' 30.00'',W 46° 28' 39.00'',-16.258333333333333,-46.4775
260,M7I2044,S 16° 16' 05.00'',W 46° 28' 57.00'',-16.268055555555556,-46.4825
261,M7I2046,S 16° 16' 47.00'',W 46° 27' 46.00'',-16.279722222222222,-46.46277777777778
262,M7V2001,S 16° 17' 07.00'',W 46° 27' 44.00'',-16.28527777777778,-46.46222222222222
263,M7V2002,S 16° 17' 29.00'',W 46° 27' 57.00'',-16.29138888888889,-46.465833333333336
