,Field_Name,CO2_kg_per_Ha,Crop_Protection_Application_Doses,Soil_Organic_Matter,Yield_kg_per_Ha,N_total_kg_per_ha,P_total_kg_per_ha,K_total_kg_per_ha
307,M7I2102,67.82,22.0,1.662,4491.777777777777,19.8,93.6,114.0
308,M7I2103,-677.41,20.0,3.7,6625.538461538462,111.8,93.6,90.0
309,M7I2104,1029.05,15.0,2.5,6030.0,213.0,93.6,108.0
310,M7I2105,245.89,21.0,3.6,6828.0,201.6,83.2,108.0
311,M7I2106,216.15,17.0,3.5,6522.888888888889,200.39999999999998,88.4,108.0
312,M7I2107,1629.12,19.0,2.0926829268292684,6377.125,232.5,98.8,108.0
313,M7I2108,359.61,16.0,3.5,9417.692307692309,208.4,93.6,90.0
314,M7I2194,-7.88,17.0,1.825,7513.461538461538,20.9,98.8,108.0
315,M7I2195,157.5,17.0,1.5182795698924731,7513.406593406594,19.8,93.6,90.0
316,M2I2102,328.06,20.0,3.362285714285714,10312.378048780489,187.60000000000002,104.0,0.0
317,M2I2103,856.51,13.0,3.445714285714285,8392.413793103447,179.4,0.0,0.0
318,M2I2104,254.73,18.0,3.524375,8814.133333333333,201.4,104.0,0.0
319,M2I2105,55.05,14.0,3.546875,8181.142857142857,187.60000000000002,104.0,132.0
320,M2I2106,921.34,14.0,2.5,8424.9,201.4,104.0,0.0
321,M6I21189,563.59,15.0,3.1,7688.625,206.0,104.0,108.0
322,M6I2102,1019.7,15.0,2.5,7189.28,232.0,120.0,120.0
323,M6I2103,1296.1,17.0,2.5,4777.294117647059,280.0,240.0,210.0
324,M6I2107,-195.48,15.0,2.845833333333333,6207.2,237.5,105.0,120.0
325,M6I2108,754.39,15.0,3.0529411764705885,6363.365384615385,242.0,105.0,155.0
326,M6I2112,1094.21,15.0,2.5821428571428573,6517.666666666667,242.0,105.0,35.0
327,M6I2113,631.06,15.0,3.1923076923076925,6207.295081967213,242.0,105.0,0.0
328,M6I2114,991.57,15.0,2.6923076923076925,5389.886363636364,242.0,105.0,120.0
329,M7I2147,904.21,22.0,2.988888889,7723.823529411765,217.22,157.04,120.0
330,M7I2148,2003.94,17.0,1.982222222,6000.0,263.0,156.0,139.8
