,N_as_Nitrate_kg_per_Ha,P_as_Phosphorus_kg_per_Ha,K_as_Potassium_kg_per_Ha,Field_Name,Soil_Organic_Matter,Yield_Mass_kg_Per_Ha,CO2_kg_Emissions_per_Ha,Total_Water_Applied_mm,Crop_Protection_Application_Doses
201,0.0,0.0,0.0,M4V2140,2.903,3926.761744966443,184.33,450,11
202,0.0,0.0,0.0,M4V2141,3.525,3994.6428571428573,-155.47,450,15
203,22300.0,12000.0,0.0,M4V2144,3.6976714285714287,3200.8264462809916,-717.18,450,20
204,8550.0,0.0,0.0,M4V2145,2.543229166666667,2474.8888888888887,864.86,450,20
205,0.0,0.0,12240.0,M4V2146,3.5431200000000005,3339.549180327869,291.22,450,14
206,0.0,0.0,12300.0,M4V2147,1.9209,2914.75,1522.96,450,16
207,0.0,0.0,0.0,M4V2148,3.742857142857143,3812.5641025641025,-707.3,450,18
208,22600.0,9984.0,11580.0,M4V2149,2.450136363636364,3373.809523809524,266.99,450,23
209,11150.0,12480.0,0.0,M4V2150,3.6284571428571426,4074.9354005167957,911.44,450,20
210,19350.0,0.0,8400.0,M4V2151,3.068792307692308,5603.1,-269.84,450,22
211,17800.0,9600.0,6900.0,M4V2152,2.9,1122.7118644067796,-527.09,450,16
212,2177.76,7622.160000000001,3266.6400000000003,M4V2156,2.5964285714285715,4217.444444444444,1296.0,450,28
213,1636.3200000000002,7363.4400000000005,1636.3200000000002,M4V2157,2.745945945945946,3014.0,1704.04,450,27
214,2086.56,7302.96,3129.84,M4V2158,2.371052631578947,2882.695652173913,931.08,450,24
215,1110.0,4995.0,1110.0,M4V2159,3.196551724137931,5395.076923076923,587.82,450,26
216,1740.0,7830.0,2900.0,M4V2160,2.0100000000000002,5373.0,1700.85,450,19
217,2193.28,7676.4800000000005,3289.92,M4V2161,2.4,3280.156657963447,1650.92,450,22
218,21175.0,8680.0,9080.0,M4V2162,2.3,4712.5,406.01,450,22
219,21940.0,8680.0,8480.0,M4V2163,2.4,4449.6,346.03,450,22
220,21960.0,8820.0,9360.0,M4V2164,1.8,4859.545454545455,779.56,450,21
221,23850.0,12600.0,11100.0,M4V2165,1.7,3353.75,710.23,450,21
222,22565.0,9455.0,9960.0,M4V2166,2.45,3145.5550437586367,201.1,450,21
223,21538.0,9016.0,8876.0,M4V2167,1.6,3773.75,830.19,450,27
224,3600.0,12600.0,5400.0,M4V2168,3.922118181818182,5715.0,-131.55,450,15
225,21715.0,8680.0,8480.0,M4V2171,2.1,4738.333333333333,499.34,450,18
226,0.0,0.0,0.0,M4V2172,2.3,5787.555555555556,1701.88,450,18
227,0.0,0.0,0.0,M4V2173,2.23,5503.333333333333,1796.67,450,17
228,2000.0,9000.0,0.0,M4V2175,0.38688888888888895,2688.36370919287,2381.35,450,19
229,10980.0,10120.0,0.0,M6I2001,2.5,4464.583333333333,-400.21,350,14
230,20200.0,11000.0,0.0,M6I2002,2.5,4412.5,-80.93,350,14
231,1800.0,9000.0,9600.0,M6I2009,2.5,3732.777777777778,724.51,350,9
232,1800.0,9000.0,9000.0,M6I2010,2.5,3919.2727272727275,502.1,350,9
233,0.0,0.0,0.0,M6I20100,2.5,4239.64705882353,1178.45,350,17
234,0.0,0.0,0.0,M6I20101,2.5,4672.278481012659,1145.55,350,14
235,0.0,0.0,0.0,M6I20102,2.5,3488.4615384615386,1035.35,350,12
236,5400.0,0.0,0.0,M6I20103,2.5,2226.875,-469.06,350,13
237,5400.0,0.0,0.0,M6I20104,2.5,2600.689655172414,-714.94,350,11
238,5400.0,0.0,0.0,M6I20105,2.5,2695.5,-679.61,350,12
239,5400.0,0.0,0.0,M6I20106,2.5,2625.1612903225805,-619.52,350,15
240,1500.0,11100.0,0.0,M6I20108,2.5,2494.864864864865,876.85,350,16
241,1500.0,11100.0,0.0,M6I20109,2.5,4044.266666666667,864.07,350,13
242,1800.0,9000.0,10200.0,M6I2011,2.5,4142.4,539.27,350,10
243,0.0,0.0,0.0,M6I20111,2.5,3025.6923076923076,735.25,350,13
244,0.0,0.0,0.0,M6I20113,2.5,2215.5882352941176,703.84,350,14
245,12480.0,0.0,2400.0,M6I20114,2.5,2285.0,1256.85,350,22
246,1500.0,9000.0,3000.0,M6I20115,2.5,3834.494382022472,750.63,350,10
247,1500.0,9000.0,3000.0,M6I20116,2.5,4153.220338983051,854.15,350,14
248,1330.0,7980.0,2660.0,M6I20117,2.5,3612.962962962963,814.24,350,14
249,9000.0,0.0,0.0,M6I20118,2.5,3366.4615384615386,-289.27,350,14
250,1500.0,11100.0,0.0,M6I20119,2.5,2739.5238095238096,932.34,350,19
251,0.0,0.0,7200.0,M6I2012,2.5,3829.1346153846152,-577.94,350,15
252,0.0,0.0,0.0,M6I20121,2.5,4017.948717948718,1028.14,350,18
253,2240.0,11200.0,0.0,M6I20122,2.5,3190.2380952380954,855.43,350,15
254,2320.0,12760.0,0.0,M6I20123,2.5,2971.3333333333335,876.99,350,16
255,0.0,0.0,0.0,M6I20124,2.5,3943.0,1063.18,350,20
256,4640.0,25520.0,0.0,M6I20125,2.5,4087.2,338.27,350,8
257,2240.0,11200.0,0.0,M6I20126,2.5,3451.809523809524,1088.88,350,16
258,0.0,0.0,0.0,M6I20127,2.5,4267.809523809524,1131.04,350,22
259,0.0,0.0,0.0,M6I20129,2.5,1909.1156462585034,-708.67,350,15
260,0.0,0.0,7200.0,M6I2013,2.5,4292.692307692308,163.09,350,15
261,0.0,0.0,0.0,M6I20130,2.5,4189.333333333333,890.3,350,16
262,0.0,0.0,0.0,M6I20131,2.5,3646.823529411765,40.85,350,15
263,1000.0,7500.0,5000.0,M6I20134,2.5,4164.7,730.99,350,17
264,1620.0,11988.0,0.0,M6I20135,2.5,4362.705882352941,905.4,350,15
265,0.0,0.0,0.0,M6I20136,2.5,2605.815831987076,1109.08,350,21
266,0.0,0.0,0.0,M6I20137,2.5,2240.8829174664106,1098.14,350,21
267,0.0,0.0,0.0,M6I20138,2.5,4087.0,1194.88,350,21
268,0.0,0.0,0.0,M6I20139,2.5,3788.6746987951806,1192.08,350,22
269,9000.0,0.0,7200.0,M6I2014,2.5,4125.393258426966,496.51,350,15
270,0.0,0.0,9000.0,M6I20140,2.5,1828.0,238.65,350,23
271,0.0,0.0,0.0,M6I20141,2.5,3216.0,-751.2,350,15
272,5600.0,5600.0,5600.0,M6I20142,2.5,3447.222222222222,-153.03,350,15
273,5600.0,5600.0,5600.0,M6I20143,2.5,3261.6666666666665,-170.33,350,15
274,5600.0,5600.0,5600.0,M6I20144,2.5,4075.6,-125.84,350,15
275,5600.0,5600.0,5600.0,M6I20145,2.5,3445.6,167.6,350,10
276,14000.0,12000.0,3200.0,M6I20147,2.5,6275.5,-33.22,350,12
277,4000.0,12000.0,6000.0,M6I20149,2.5,4389.6,948.73,350,10
278,0.0,0.0,0.0,M6I2015,2.5,2475.25,407.45,350,9
279,4000.0,12000.0,6000.0,M6I20150,2.5,3754.2,980.97,350,15
280,0.0,0.0,0.0,M6I20151,2.5,2078.5365853658536,920.28,350,13
281,0.0,0.0,0.0,M6I20152,2.5,1123.612740232789,950.98,350,21
282,0.0,0.0,0.0,M6I20153,2.5,2386.2776877363585,1043.16,350,22
283,0.0,0.0,0.0,M6I20154,2.5,2535.405041370021,423.63,350,13
284,0.0,0.0,0.0,M6I20155,2.5,2679.4318590435096,919.91,350,13
285,0.0,0.0,0.0,M6I20156,2.5,2127.1111111111113,-631.74,350,15
286,0.0,0.0,0.0,M6I20157,2.5,3449.375,1204.59,350,12
287,0.0,0.0,0.0,M6I20158,2.5,5464.174757281553,371.18,350,15
288,0.0,0.0,0.0,M6I20159,2.5,3742.181818181818,1207.57,350,21
289,0.0,0.0,0.0,M6I2016,2.5,6446.71875,314.58,350,15
290,0.0,0.0,0.0,M6I20160,2.5,3555.25,1281.43,350,15
291,0.0,0.0,0.0,M6I20161,2.5,3819.875,1334.76,350,16
292,500.0,5000.0,5000.0,M6I20163,2.5,4065.5,1163.01,350,16
293,10486.0,8664.0,7707.0,M6I20164,2.5,3099.6875,-490.81,350,14
294,1800.0,10800.0,5400.0,M6I20165,2.5,2390.153846153846,811.5,350,11
295,1800.0,10800.0,5400.0,M6I20166,2.5,2664.4210526315787,783.94,350,10
296,3600.0,10800.0,5400.0,M6I20167,2.5,1846.0,791.93,350,10
297,3600.0,10800.0,5400.0,M6I20168,2.5,3111.2,1052.09,350,16
298,0.0,0.0,0.0,M6I2017,2.5,3305.769230769231,124.6,350,14
299,10880.0,11040.0,8520.0,M6I20170,2.5,2028.5,-493.5,350,16
300,3300.0,9900.0,0.0,M6I20174,2.5,3452.3863636363635,-623.14,350,15
301,2400.0,12000.0,0.0,M6I20175,2.5,4123.2,814.34,350,9
302,6100.0,12000.0,7000.0,M6I20177,2.5,6247.75,472.93,350,9
303,2400.0,12000.0,0.0,M6I20178,2.5,7152.0,876.91,350,15
304,6100.0,12000.0,7000.0,M6I20179,2.5,5480.666666666667,456.07,350,9
305,1550.0,11470.0,0.0,M6I2018,2.5,3871.28,61.97,350,15
306,2400.0,12000.0,0.0,M6I20180,2.5,1951.8666666666666,557.01,350,15
