,N_as_Nitrate_kg_per_Ha,P_as_Phosphorus_kg_per_Ha,K_as_Potassium_kg_per_Ha,Field_Name,Crop_Area_Ha,Soil_Organic_Matter,Yield_Mass_kg_Per_Ha,CO2_kg_Emissions_per_Ha
256,22700.0,8750.0,13500.0,M6V2045,94,3.6100000000000003,2051.276595744681,-900.04
257,9750.0,3500.0,11500.0,M6V2050,22,4.05,2070.0,-1724.9
258,9750.0,3500.0,11500.0,M6V2051,23,4.2,1793.0434782608695,-1769.89
259,15070.0,0.0,0.0,M6V2052,137,2.86,2778.832116788321,-82.91
260,3600.0,12600.0,7200.0,M6V2053,65,1.95,4166.615384615385,562.77
261,3600.0,12600.0,7200.0,M6V2061,40,2.66,4987.0,1236.15
262,3600.0,12600.0,7200.0,M6V2062,50,3.01,5456.4,-144.72
263,2448.0,11968.0,0.0,M6V2066,78,2.007894736842105,3943.076923076923,748.4
264,10120.0,0.0,0.0,M6V2068,145,2.47,4800.896551724138,194.58
265,1400.0,10500.0,5600.0,M6V2073,52,3.03695652173913,3549.423076923077,575.44
266,2300.0,7590.0,0.0,M6V2074,70,3.320000000000001,5116.571428571428,-1118.18
267,2300.0,7590.0,0.0,M6V2075,72,3.05,3283.1944444444443,-1069.08
268,2600.0,8580.0,0.0,M6V2076,60,2.620000000000001,5462.833333333333,-611.26
269,2350.0,7755.0,0.0,M6V2077,62.5,2.5842857142857145,5368.96,-562.59
270,10620.0,8820.0,12000.0,M6V2101,94,3.6100000000000003,2789.68085106383,-1270.38
271,1620.0,8820.0,0.0,M6V2102,75,1.9448275862068964,2780.5333333333333,-253.39
272,1620.0,8640.0,0.0,M6V2103,44,1.9448275862068964,3200.4545454545455,-198.31
273,18000.0,0.0,18000.0,M6V21100,47,3.2,3057.021276595745,-643.96
274,20800.0,9800.0,5600.0,M6V21101,46,4.06,1974.7826086956522,-1221.14
275,20800.0,9800.0,5600.0,M6V21102,50,3.5,3251.4,-705.88
276,3600.0,6300.0,5400.0,M6V21107,18,2.3,3728.3333333333335,-434.81
277,1600.0,11840.0,0.0,M6V21108,100,4.241269841269841,5134.3,-302.4
278,0.0,0.0,12000.0,M6V21110,60,2.5,5764.333333333333,1107.97
279,1620.0,8820.0,12000.0,M6V2114,19,1.5,4226.8421052631575,75.63
280,9200.0,0.0,12000.0,M6V2115,32,1.9,4521.5625,53.55
281,18200.0,0.0,12000.0,M6V2116,70,2,3201.714285714286,382.73
282,3200.0,9600.0,6400.0,M6V2117,56,2.2,3088.214285714286,-382.54
283,12600.0,12600.0,7200.0,M6V2134,40,3.01,5810.75,-615.47
284,9000.0,0.0,12000.0,M6V2136,29,3.7299999999999995,7611.724137931034,-1008.32
285,2330.0,7689.0,0.0,M6V2139,60,0.5903333333333334,4268.166666666667,802.59
286,2330.0,7689.0,0.0,M6V2140,62.5,1.453709677419355,5424.48,534.02
287,0.0,0.0,9000.0,M6V2143,72,0.5900000000000001,4062.5,744.04
288,10950.0,6750.0,11400.0,M6V2146,22,4.3,6826.818181818182,-1562.35
289,9060.0,8500.0,11100.0,M6V2147,23,4.25,6873.913043478261,-1590.2
290,1600.0,11840.0,0.0,M6V2152,122,2.501639344262295,2887.8688524590166,901.63
291,1600.0,11840.0,0.0,M6V2153,130,2.5,4369.538461538462,865.69
292,1350.0,9990.0,0.0,M6V2154,135,2.963235294117647,2043.851851851852,508.42
293,1600.0,11840.0,0.0,M6V2161,13,3.4420000076293946,2706.153846153846,108.08
294,1600.0,11840.0,0.0,M6V2162,23,3.3222221798366975,2663.913043478261,168.08
295,1600.0,11840.0,0.0,M6V2163,70,3.3119999980926513,2391.8571428571427,167.67
296,1620.0,8820.0,12000.0,M6V2167,45,2,4201.111111111111,-251.63
297,18250.0,13000.0,12000.0,M6V2168,25,4,2042.0,-1210.33
