,Field_Name,Crop_Protection_Application_Doses,Soil_Organic_Matter,Yield_kg_per_Ha,Total_N,Total_P,Total_K,CO2_kg_per_Ha
315,M7I2160,17.0,1.5666666666666669,9349.444444444443,145.0,104.0,120.0,1293.0
316,M7I2161,26.0,2.4511111111111115,7070.72,145.0,104.0,120.0,835.69
317,M7I2162,24.0,2.542222222222222,5280.0,143.0,92.0,120.0,571.3
318,M7I2163,25.0,1.551923076923077,7871.192052980133,145.0,104.0,120.0,1420.99
319,M6I21134,12.0,2.69875,4573.619047619048,194.0,94.0,90.0,546.65
320,M6I21135,19.0,2.89,7602.166666666667,194.0,94.0,90.0,643.77
321,M6I21136,18.0,2.635,6183.238095238095,194.0,94.0,90.0,767.85
322,M6I21137,17.0,2.7625,7874.272727272727,194.0,94.0,90.0,706.31
323,M6I21138,17.0,2.38,6634.102564102564,194.0,94.0,90.0,950.91
324,M6I21140,15.0,2.93,2324.5238095238096,10.0,94.0,90.0,-1154.65
325,M7I2150,17.0,3.3,4800.0,180.7,77.7,102.0,83.5
326,M7I2151,29.0,3.1,3792.9,171.5,77.7,78.0,349.32
327,M7I2152,27.0,3.35,3612.1951219512193,171.5,77.7,78.0,116.95
328,M7I2153,30.0,3.05,3612.1917808219177,171.5,77.7,78.0,401.31
329,M6I21178,15.0,2.8,9984.857142857143,38.0,91.2,38.0,-768.13
330,M7I2127,20.0,3.325,6837.65306122449,115.1,109.2,102.0,-360.06
