Crop_Protection_Application_Doses,Soil_Organic_Matter,N_as_Urea_kg_per_Ha,N_as_Nitrate_kg_per_Ha,N_as_Ammonium_kg_per_Ha,P_as_Phosphorus_kg_per_Ha,P_as_P2O5_kg_per_Ha,K_as_Potassium_kg_per_Ha,K_as_K2O_kg_per_Ha,CO2_kg_per_Ha,Yield_kg_per_Ha
25,2.3,184,0,22.44,0,106.08,0,120,1469.79,9656
26,3.196551724,174.8,11.1,0,49.95,0,11.1,60,587.82,10478.15385
19,2.01,188.6,17.4,21,78.3,0,29,60,1700.85,10465.6
17,2.8991625,0,211.75,0,98.4,0,99,0,-172.76,9710.526316
22,3.441533333,0,201.85,0,98.4,0,78,0,-545.77,8819.816514
19,2.0653,0,209.5,0.33,98.4,1.56,85.2,0,403.06,7302.666667
22,3.068792308,0,193.5,0,0,0,84,0,-269.84,10217.2
23,2.3,201.8848,0,32.8884,0,95.9088,0,135.69,1619.65,6372.666667
18,2.3,203.711,0,34.9085,0,87.8176,0,143.328,1701.88,10834.22222
17,2.23,226.711,0,19.25,0,91,0,121.5,1796.67,10172.66667
20,2.8,174.8,0,0,0,0,0,0,487.25,4627.052632
21,1.7,0,238.5,0,126,0,111,0,710.23,6099.375
21,2.45,0,225.65,0,94.55,0,99.6,0,201.1,6382.312298
27,1.6,0,215.38,0,90.16,0,88.76,0,830.19,6937.291667
14,2.371428571,163.044,1.29,73.442,0,125.632,0,130.26,1334.24,4629.522431
12,2.129169231,169.208,1.29,67.143,0,117,0,121.2,1544.63,6909.94561
14,3.54312,155.204,0.845,64.306,0,117.208,122.4,0,291.22,6120.696721
15,1.5,0,16.2,0,88.2,0,120,0,75.63,8237.368421
8,1.9,0,92,19.8,0,93.6,120,0,53.55,8481.875
15,2,0,182,19.8,0,93.6,120,0,382.73,6156.285714
15,2,0,16.2,0,88.2,0,120,0,-251.63,8170.222222
15,2.2,0,32,0,96,0,64,0,-382.54,7406.071429
14,3.442000008,184,16,0,118.4,0,0,0,108.08,5760
13,3.32222218,184,16,0,118.4,0,0,0,168.08,5488.26087
13,3.311999998,184,16,2.2,118.4,10.4,0,0,167.67,4578.714286
18,3.047962963,82.8,100,18.7,0,88.4,75,102,78.64,4894.967742
15,2.3,0,36,0,63,0,54,96,-434.81,6410.555556
15,2.3788,87.4,77.527,68.02,0,119.08,120,0,939.66,7186
16,1.9209,152.51,0.445,67.745,0,119.6,123,0,1522.96,5726.5
20,2.275,87.4,126.4,0,92.4,0,0,120,805.19,8624.755245
13,3,179.4,36.14,0,91.74,0,0,108,558.08,7366.850069
20,2.543229167,115,85.5,30.8,0,145.6,0,120,864.86,5608.111111
20,2.5,0,172,42,98,0,72,0,228.94,5134.5
17,3.642635294,69,118,42,98,0,96,0,-216.25,6533.802817
18,2.040909091,193.2,33.15,0,84.15,0,0,124.8,1609.77,10623.49206
19,1.8,184,0,22.44,0,106.08,0,120,1597.46,5831.7
22,3,184,0,22.44,0,106.08,0,120,749.88,5275.117647
19,3.5,184,0,22.77,0,107.64,0,120,432.04,8812.888889
15,2.5,92,90,26.4,0,124.8,60,90,429.34,2056.071429
15,2.5,92,90,26.4,0,124.8,60,90,429.34,1329.6
24,1.78,170.2,0,30.8,0,145.6,0,120,1645.88,5505
27,1.71,170.2,0,30.8,0,145.6,0,120,1615.81,4651.481481
22,1.708695652,193.2,32.5,0,82.5,0,0,120,1716.36,7956
20,2.5,0,230.24,0,81.84,0,0,138,242.86,7508.946609
16,2.9,0,178,0,96,0,69,48,-527.09,2783.050847
27,2.5,119.6,40,42,108,0,32,90,995.51,6406.16
24,2.5,119.6,40,42,108,0,32,90,932.95,6371.36
15,3.045168,0,0,0,0,0,0,108,-1042.23,8458.681319
10,1.4,92,21,0,105,0,35,90,771.61,8233.333333
12,1.5,92,21,0,105,0,35,90,696.66,6921.111111
10,2.45,0,21,0,105,0,35,90,-753.31,4628.369565
20,3.697671429,0,223,0,120,0,0,105,-717.18,6700.472255
20,3.628457143,197.8,111.5,0,124.8,0,0,105,911.44,8162.790698
17,4.88125,184,17,0,125.8,0,0,90,-350.22,5594
21,5.907407407,184,17,0,125.8,0,0,90,-233.82,6168.831169
15,4.1125,0,24,0,120,0,0,0,-1866.87,6279.3
15,3.922118182,92,36,84,126,0,54,0,-131.55,10040.5
